mode,max_score,draw_margin,outcome_weight,gd_weight,prior_weight,AW-MAE,MAE_raw_component,exact_acc,outcome_acc,goal_diff_acc
outcome_aware,4,0.1,0.35,0.06,0.06,2.9639597275550287,1.0157400355420156,0.10066006600660066,0.5942498095963442,0.22594567149022596
outcome_aware,4,0.1,0.35,0.0,0.06,2.9641948771789535,1.018088347296268,0.10104087331810103,0.5968519928915968,0.22658035034272658
outcome_aware,4,0.1,0.35,0.03,0.06,2.9646804516235283,1.017009393247017,0.10072353389185072,0.5948210205635949,0.2261995430312262
outcome_aware,4,0.0,0.2,0.03,0.06,2.964843117857829,1.0068227976643818,0.10421426758060422,0.5807946179233308,0.2345138359989845
outcome_aware,4,0.2,0.35,0.0,0.06,2.9648585461690065,1.0146293475501396,0.103008377760853,0.5928535161208428,0.22924600152322924
outcome_aware,4,0.0,0.2,0.06,0.06,2.9653638675256935,1.0068227976643818,0.10326224930185327,0.58009647118558,0.2338156892612338
outcome_aware,4,0.0,0.35,0.06,0.06,2.965401659084697,1.0171997969027673,0.09996191926884997,0.5953922315308454,0.22493018532622494
outcome_aware,4,0.1,0.35,0.1,0.06,2.9661246973328192,1.0144072099517645,0.10135821274435136,0.5924092409240924,0.2267072861132267
outcome_aware,4,0.2,0.35,0.06,0.06,2.966502835532976,1.0138994668697638,0.10154861640010154,0.5912033511043412,0.22778624016247778
outcome_aware,4,0.0,0.35,0.03,0.06,2.966608900665529,1.0189134298045188,0.09996191926884997,0.5964077176948465,0.22505712109672504
outcome_aware,4,0.0,0.2,0.06,0.03,2.9667849020144,1.0079334856562578,0.10332571718710333,0.5811754252348311,0.23305407463823305
outcome_aware,4,0.2,0.35,0.03,0.06,2.9668030515872843,1.0143437420665145,0.10237369890835238,0.5915841584158416,0.2284209190149784
outcome_aware,4,0.1,0.35,0.03,0.03,2.9669078288801503,1.019072099517644,0.10021579080985021,0.5963442498095963,0.22556486417872557
outcome_aware,4,0.0,0.35,0.0,0.06,2.9670066160652984,1.0203731911652705,0.0998984513835999,0.5987560294490988,0.22473978167047473
outcome_aware,4,0.0,0.35,0.1,0.06,2.967051784971213,1.0156765676567656,0.10091393754760092,0.5936151307438436,0.2261995430312262
outcome_aware,4,0.2,0.35,0.03,0.03,2.967329000909051,1.0158035034272659,0.10199289159685199,0.5928535161208428,0.22823051535922823
outcome_aware,4,0.1,0.35,0.1,0.03,2.9674849419377285,1.0164381822797663,0.10059659812135059,0.5937420665143437,0.226009139375476
outcome_aware,4,0.1,0.35,0.06,0.03,2.9676264447825167,1.018183549124143,0.10002538715410003,0.595011424219345,0.2256917999492257
outcome_aware,4,0.1,0.2,0.03,0.06,2.9677029246920474,1.0065054582381314,0.1044046712363544,0.5792079207920792,0.23406956080223407
outcome_aware,4,0.0,0.2,0.0,0.01,2.9680330082571142,1.0096471185580096,0.10332571718710333,0.5833968012185834,0.23254633155623256
outcome_aware,4,0.1,0.35,0.06,0.01,2.9680748165138247,1.018976897689769,0.09958111195734957,0.5956461030718456,0.22493018532622494
outcome_aware,4,0.1,0.35,0.0,0.03,2.9682344536736913,1.0200875856816451,0.10027925869510028,0.5981848184818482,0.22550139629347551
outcome_aware,4,0.1,0.2,0.06,0.06,2.968254937711881,1.0064737242955064,0.10351612084285351,0.5786367098248286,0.23343488194973344
outcome_aware,4,0.1,0.35,0.06,0.0,2.968720444406055,1.0198019801980198,0.09945417618684946,0.5962807819243463,0.22486671744097486
outcome_aware,4,0.0,0.2,0.1,0.03,2.968796647927666,1.0078382838283828,0.10345265295760345,0.5805407463823306,0.23337141406448336
outcome_aware,4,0.2,0.35,0.1,0.06,2.96884746258579,1.0132013201320131,0.10205635948210205,0.5898070576288398,0.22816704747397817
outcome_aware,4,0.0,0.35,0.03,0.03,2.9688702212465006,1.021039603960396,0.09939070830159939,0.5981848184818482,0.22416857070322416
outcome_aware,4,0.0,0.2,0.0,0.0,2.9688742506192902,1.0103452652957603,0.10269103833460269,0.5836506727595836,0.23184818481848185
outcome_aware,4,0.1,0.35,0.0,0.01,2.9688845365469683,1.0206270627062706,0.09983498349834984,0.5986290936785986,0.2244859101294745
outcome_aware,4,0.0,0.2,0.1,0.06,2.9688967679922116,1.006981467377507,0.1033891850723534,0.5786367098248286,0.23305407463823305
outcome_aware,4,0.0,0.2,0.06,0.01,2.968936256081795,1.0090759075907592,0.10307184564610307,0.582063975628332,0.2326097994414826
outcome_aware,4,0.1,0.35,0.0,0.0,2.968944480046716,1.0213886773292713,0.09913683676059913,0.5991368367605991,0.22385123127697384
outcome_aware,4,0.0,0.35,0.1,0.03,2.9690038619734977,1.0177710078700177,0.10008885503935008,0.5948210205635949,0.22524752475247525
outcome_aware,4,0.1,0.2,0.06,0.03,2.969219636973128,1.0074892104595075,0.10364305661335364,0.5797791317593298,0.23273673521198274
outcome_aware,4,0.0,0.2,0.0,0.06,2.969295505257236,1.0078700177710078,0.10446813912160446,0.5806676821528307,0.23387915714648388
outcome_aware,4,0.1,0.35,0.03,0.0,2.9694497833920606,1.0204683929931455,0.10002538715410003,0.5981848184818482,0.22518405686722517
outcome_aware,4,0.1,0.2,0.0,0.01,2.969466790905681,1.009012439705509,0.10370652449860371,0.582000507743082,0.2326097994414826
outcome_aware,4,0.0,0.2,0.03,0.03,2.969477582870513,1.0085681645087585,0.10370652449860371,0.5813023610053313,0.23305407463823305
outcome_aware,4,0.2,0.35,0.0,0.03,2.9697583253742947,1.0164699162223916,0.10218329525260218,0.5934247270880935,0.22816704747397817
outcome_aware,4,0.0,0.35,0.06,0.03,2.969803988358011,1.0198337141406448,0.0992003046458492,0.5961538461538461,0.2244859101294745
outcome_aware,4,0.0,0.35,0.06,0.01,2.9698245231783194,1.0207539984767708,0.09881949733434882,0.597042396547347,0.22385123127697384
outcome_aware,5,0.1,0.35,0.0,0.06,2.96994105128378,1.0193259710586444,0.0985021579080985,0.5968519928915968,0.2235973597359736
outcome_aware,4,0.2,0.35,0.06,0.03,2.9700322222262137,1.0157400355420156,0.10123127697385123,0.5915841584158416,0.22746890073622747
outcome_aware,4,0.1,0.35,0.03,0.01,2.9700332058269905,1.0202779893373952,0.09964457984259964,0.597105864432597,0.2248032495557248
outcome_aware,4,0.2,0.35,0.06,0.01,2.9701535847780347,1.0163429804518913,0.1011043412033511,0.5923457730388424,0.22708809342472708
outcome_aware,5,0.1,0.35,0.06,0.06,2.970232363382066,1.017136329017517,0.09837522213759838,0.5942498095963442,0.22328002030972327
outcome_aware,5,0.1,0.35,0.03,0.06,2.9702512651900417,1.018183549124143,0.09843869002284844,0.5948210205635949,0.22328002030972327
outcome_aware,4,0.1,0.2,0.0,0.0,2.9702690885001277,1.0097105864432596,0.10307184564610307,0.5822543792840823,0.2319116527037319
outcome_aware,4,0.0,0.2,0.03,0.01,2.9703479361183516,1.0095201827875095,0.10313531353135313,0.5823178471693323,0.23203858847423203
outcome_aware,5,0.0,0.2,0.03,0.06,2.9704139314243427,1.007996953541508,0.10192942371160194,0.5807946179233308,0.2315943132774816
outcome_aware,4,0.0,0.2,0.06,0.0,2.970423005781555,1.00990099009901,0.10243716679360244,0.5818101040873318,0.23178471693323177
outcome_aware,4,0.2,0.35,0.06,0.0,2.9705878902729963,1.016914191419142,0.1011043412033511,0.5928535161208428,0.2272150291952272
outcome_aware,5,0.2,0.35,0.0,0.06,2.970604720273833,1.015866971312516,0.10046966235085047,0.5928535161208428,0.22626301091647627
outcome_aware,4,0.1,0.35,0.1,0.01,2.9706402413661883,1.017993145468393,0.09983498349834984,0.593995938055344,0.22467631378522468
outcome_aware,4,0.2,0.2,0.03,0.06,2.970688188550561,1.0062198527545063,0.10503935008885504,0.5779385630870779,0.2348946433104849
outcome_aware,4,0.0,0.35,0.06,0.0,2.970697596085369,1.0216742828128966,0.09869256156384869,0.5977405432850977,0.2237877633917238
outcome_aware,4,0.1,0.2,0.0,0.06,2.971000912886777,1.0073622746890074,0.10478547854785479,0.5792713886773293,0.23387915714648388
