mode,max_score,lambda_blend,shared_lambda,classifier_power,prior_power,AW-MAE,MAE_raw_component,exact_acc,outcome_acc,goal_diff_acc
bivar_poisson_expected_awmae,4,1.0,0.15,0.0,0.0,2.9184656701776035,1.0064419903528814,0.11430566133536431,0.5912668189895912,0.23794110180248795
bivar_poisson_expected_awmae,4,1.0,0.06,0.0,0.0,2.918507935636766,1.0089172378776339,0.11449606499111449,0.5924727088093424,0.23927392739273928
bivar_poisson_expected_awmae,5,1.0,0.15,0.0,0.0,2.918640842038828,1.005077430820005,0.11259202843361259,0.5935516628585935,0.23527545062198527
bivar_poisson_expected_awmae,5,0.5,0.1,0.0,0.0,2.919488619622532,1.0042206143691292,0.11221122112211221,0.5894897182025894,0.23743335872048743
bivar_poisson_expected_awmae,5,0.75,0.15,0.0,0.0,2.9202379743436717,1.0041888804265042,0.11303630363036303,0.5913937547600914,0.2364813404417365
bivar_poisson_expected_awmae,4,0.75,0.15,0.0,0.0,2.920445827330062,1.0064737242955064,0.11424219345011424,0.5876491495303376,0.2395912668189896
bivar_poisson_expected_awmae,5,0.75,0.06,0.0,0.0,2.9205872747963935,1.0073940086316324,0.11202081746636203,0.5932343234323433,0.23629093678598628
bivar_poisson_expected_awmae,4,0.75,0.1,0.0,0.0,2.9206361588716003,1.0075209444021325,0.11436912922061437,0.5891089108910891,0.23946433104848946
bivar_poisson_expected_awmae,5,1.0,0.1,0.0,0.0,2.9213840268010536,1.0067910637217568,0.11144960649911145,0.5936151307438436,0.23413302868748415
bivar_poisson_expected_awmae,4,1.0,0.1,0.0,0.0,2.9215457158871176,1.0083460269103834,0.11424219345011424,0.5916476263010917,0.23825844122873827
bivar_poisson_expected_awmae,5,0.5,0.15,0.0,0.0,2.921958791819694,1.0029512566641279,0.11259202843361259,0.587014470677837,0.23673521198273673
bivar_poisson_expected_awmae,5,0.75,0.1,0.0,0.0,2.922485010431996,1.0063150545823814,0.11246509266311247,0.5922823051535923,0.23667174409748667
bivar_poisson_expected_awmae,4,1.0,0.03,0.0,0.0,2.922978412319538,1.0105039350088856,0.1137979182533638,0.5920919014978421,0.23787763391723787
bivar_poisson_expected_awmae,5,0.75,0.03,0.0,0.0,2.923259036101936,1.0086633663366336,0.11113226707286113,0.5931073876618431,0.23533891850723535
bivar_poisson_expected_awmae,4,0.75,0.06,0.0,0.0,2.923295835337154,1.0084412287382585,0.11436912922061437,0.5894262503173394,0.23895658796648897
bivar_poisson_expected_awmae,5,1.0,0.0,0.0,0.25,2.923776009589853,1.0097740543285099,0.11747905559786748,0.5898705255140899,0.24206651434374207
bivar_poisson_expected_awmae,5,1.0,0.03,0.0,0.25,2.9241192389275774,1.0090759075907592,0.11760599136836761,0.5893627824320894,0.24143183549124142
bivar_poisson_expected_awmae,4,0.75,0.03,0.0,0.0,2.9244186758064075,1.0096788525006346,0.11386138613861387,0.5900609291698401,0.2385123127697385
bivar_poisson_expected_awmae,4,1.0,0.0,0.0,0.0,2.9246085726862296,1.0112972835745113,0.1130997715156131,0.5922823051535923,0.23711601929423712
bivar_poisson_expected_awmae,5,1.0,0.06,0.0,0.0,2.9247437246997583,1.0083777608530085,0.11075145976136075,0.5932343234323433,0.23394262503173394
bivar_poisson_expected_awmae,5,1.0,0.0,0.0,0.0,2.9249406645879445,1.0094567149022595,0.10967250571210967,0.5937420665143437,0.23292713886773292
bivar_poisson_expected_awmae,4,0.75,0.0,0.0,0.0,2.924990039751703,1.010821274435136,0.11316323940086316,0.5906321401370906,0.2383853769992384
bivar_poisson_expected_awmae,5,0.75,0.0,0.0,0.0,2.925501243395277,1.0095836506727596,0.11100533130236101,0.5932977913175933,0.23483117542523482
bivar_poisson_expected_awmae,5,0.5,0.06,0.0,0.0,2.9255518218993783,1.0055851739020056,0.11246509266311247,0.5891723787763392,0.23673521198273673
bivar_poisson_expected_awmae,5,1.0,0.03,0.0,0.0,2.925748347302339,1.0092028433612592,0.11024371667936024,0.5932343234323433,0.23368875349073367
bivar_poisson_expected_awmae,5,1.0,0.15,0.0,0.25,2.92641937831114,1.0065054582381314,0.1184945417618685,0.5866971312515867,0.24105102817974106
bivar_poisson_expected_awmae,5,1.0,0.1,0.0,0.25,2.926724281628444,1.0080604214267581,0.11747905559786748,0.5880934247270881,0.24054328509774053
bivar_poisson_expected_awmae,5,0.5,0.03,0.0,0.0,2.926920969742631,1.007044935262757,0.11202081746636203,0.58999746128459,0.2364178725564864
bivar_poisson_expected_awmae,5,1.0,0.06,0.0,0.25,2.9280459698598276,1.0088220360497588,0.11697131251586697,0.5881568926123382,0.2400990099009901
bivar_poisson_expected_awmae,4,0.5,0.1,0.0,0.0,2.9282429447969425,1.006949733434882,0.11481340441736482,0.5845392231530845,0.24003554201574004
bivar_poisson_expected_awmae,4,0.5,0.06,0.0,0.0,2.9287667004660203,1.0086316323940085,0.11424219345011424,0.5858720487433359,0.23927392739273928
bivar_poisson_expected_awmae,5,0.5,0.0,0.0,0.0,2.929065604161003,1.0083777608530085,0.11151307438436152,0.5905686722518406,0.23584666158923584
bivar_poisson_expected_awmae,5,0.75,0.0,0.0,0.25,2.9298575994858864,1.0102817974105103,0.11741558771261741,0.5865701954810866,0.24105102817974106
bivar_poisson_expected_awmae,5,0.75,0.15,0.0,0.25,2.93156747482943,1.0068545316070068,0.119002284843869,0.5827621223660827,0.24105102817974106
