mode,max_score,lambda_blend,shared_lambda,classifier_power,prior_power,dixon_rho,AW-MAE,MAE_raw_component,exact_acc,outcome_acc,goal_diff_acc
dixon_bivar_expected_awmae,4,1.0,0.15,0.0,0.0,0.0,2.9177677928160892,1.0079652195988829,0.11348057882711349,0.592028433612592,0.2387027164254887
dixon_bivar_expected_awmae,5,1.0,0.15,0.0,0.0,-0.05,2.9179638674993646,1.0046331556232546,0.11341711094186342,0.5930439197765931,0.236989083523737
dixon_bivar_expected_awmae,4,1.0,0.06,0.0,0.0,-0.05,2.9189586977941335,1.009012439705509,0.11417872556486418,0.5914572226453415,0.23965473470423965
dixon_bivar_expected_awmae,4,1.0,0.15,0.0,0.0,0.05,2.9193507671754846,1.0081556232546331,0.11316323940086316,0.5924727088093424,0.2361005331302361
dixon_bivar_expected_awmae,5,1.0,0.1,0.0,0.25,0.15,2.919369345690101,1.0093615130743843,0.11373445036811373,0.5917110941863417,0.23565625793348566
dixon_bivar_expected_awmae,5,1.0,0.03,0.0,0.0,-0.1,2.919528835915568,1.0066323940086317,0.11265549631886265,0.5928535161208428,0.23717948717948717
dixon_bivar_expected_awmae,5,1.0,0.06,0.0,0.0,-0.1,2.9196699386144123,1.0055851739020056,0.1130997715156131,0.5922188372683422,0.23711601929423712
dixon_bivar_expected_awmae,4,1.0,0.15,0.0,0.0,0.1,2.919723216620923,1.0090759075907592,0.11227468900736227,0.5932977913175933,0.23432343234323433
dixon_bivar_expected_awmae,5,1.0,0.03,0.0,0.25,0.15,2.9198281403577657,1.0112655496318863,0.1136075145976136,0.5929169840060929,0.23635440467123636
dixon_bivar_expected_awmae,4,1.0,0.15,0.0,0.0,-0.1,2.919875839819568,1.0045062198527546,0.11462300076161462,0.5863163239400864,0.23971820258948973
dixon_bivar_expected_awmae,5,1.0,0.1,0.0,0.0,-0.1,2.9201555783622184,1.00479182533638,0.1137979182533638,0.5925361766945926,0.2376872302614877
dixon_bivar_expected_awmae,5,1.0,0.0,0.0,0.25,0.1,2.92038343508839,1.0107578065498857,0.11449606499111449,0.5918380299568419,0.23787763391723787
dixon_bivar_expected_awmae,5,0.5,0.15,0.0,0.0,0.15,2.92041635792275,1.0089172378776339,0.10853008377760853,0.5948844884488449,0.23343488194973344
dixon_bivar_expected_awmae,5,0.75,0.15,0.0,0.0,-0.1,2.920624123720576,1.0023483117542524,0.11367098248286367,0.5873952779893374,0.2374968266057375
dixon_bivar_expected_awmae,5,1.0,0.03,0.0,0.25,0.1,2.920687538556526,1.0101865955826352,0.1151942117288652,0.5915841584158416,0.23813150545823814
dixon_bivar_expected_awmae,5,1.0,0.15,0.0,0.0,-0.1,2.9207911208963337,1.0032368621477532,0.11462300076161462,0.591012947448591,0.2381949733434882
dixon_bivar_expected_awmae,5,0.75,0.0,0.0,0.0,-0.1,2.9208497667377964,1.0065054582381314,0.11303630363036303,0.5912668189895912,0.23825844122873827
dixon_bivar_expected_awmae,5,1.0,0.15,0.0,0.0,0.0,2.921132027508428,1.0058073115003807,0.1117034780401117,0.5927265803503428,0.23432343234323433
dixon_bivar_expected_awmae,4,1.0,0.1,0.0,0.0,0.0,2.9212115100448464,1.0096471185580096,0.11341711094186342,0.5921553693830921,0.2381949733434882
dixon_bivar_expected_awmae,4,1.0,0.1,0.0,0.0,-0.05,2.921336937394973,1.008028687484133,0.11405178979436405,0.5904417364813405,0.23908352373698907
